编码:            -------------   399005   ----------

日期        总成交量 总成交额   O        C        H        L        涨幅   沪股通   深股通
2016.11.23(周三)   中小板399005    9765万       1667.77亿元    6971.54   6937.36    6989.79    6926.50   +11.6亿  量能放大震荡微跌.沪指冲高回落,站稳3200.

2016.11.22(周二)   中小板399005    8845万       1588.89亿元    6937.62   6961.13    6961.13    6928.25   +13.8亿    震荡微涨.沪指大涨,站稳3200.创业板反弹

2016.11.21(周一)   中小板399005    8330万       1476.25亿元    6924.73   6929.67    6956.44    6911.30   +1.76亿     震荡微涨. 沪指大涨, 站稳3200.

2016.11.18(周五)   中小板399005    8557万       1384.52亿元    6965.25   6928.97    6973.65    6923.23   -0.24亿     量能回落,震荡微跌.

2016.11.17(周四)   中小板399005    8709万       1372.05亿元    6982.82   6966.58    6982.92    6931.44   +0.27亿     量能回落,震荡微跌. 补缺口

2016.11.16(周三)   中小板399005    1.00亿       1625.22亿元    6982.07   6991.64    7008.57    6980.36   +7.98亿   量能放大,冲高回落收涨.向上缺口.央行乌龙

2016.11.15(周二)   中小板399005    9363万       1512.22亿元    6951.14   6970.82    6970.82    6920.68   +0.58亿     量能回落, 下午冲高收涨. 光头

2016.11.14(周一)   中小板399005    1.09亿       1764.25亿元    6923.89   6947.36    6982.60    6913.43   -1.13亿     维持量能. 冲高回落, 震荡微涨

2016.11.11(周五)   中小板399005    1.05亿       1764.83亿元    6931.50   6941.25    6944.28    6896.28   -5.84亿     放量, 震荡微涨

2016.11.10(周四)   中小板399005    9856万       1663.46亿元    6908.17   6924.45    6941.32    6903.54   +16.4亿     超跌反弹. 放量

2016.11.09(周三)   中小板399005    1.00亿       1678.39亿元    6929.52   6852.00    6929.91    6769.47   -40.0亿     放量大跌,反弹收跌.美总统特朗普

2016.11.08(周二)   中小板399005    8447万手     1389.16亿元    6922.12   6928.48    6946.98    6904.50   +3.72亿     量能放大,震荡收涨

2016.11.07(周一)   中小板399005    7974万手     1295.00亿元    6897.26   6882.82    6913.38    6871.49   +1.03亿     量能回落,震荡微跌

2016.11.04(周五)   中小板399005    8522万手     1451.11亿元    6924.40   6895.16    6947.92    6885.02   -1.60亿     量能稍小,震荡微跌

2016.11.03(周四)   中小板399005    9975万手     1698.36亿元    6879.77   6926.24    6966.32    6873.85   -3.50亿     量能放大,震荡微涨

2016.11.02(周三)   中小板399005    8754万手     1456.91亿元    6942.51   6894.83    6957.91    6890.17   -9.46亿     量能放大,震荡下涨

2016.11.01(周二)   中小板399005    7524万手     1260.65亿元    6907.22   6953.89    6954.96    6901.44   +4.63亿     震荡上涨

2016.10.31(周一)   中小板399005    6876万手     1110.78亿元    6892.32   6900.73    6915.09    6852.96   +2.33亿     震荡微跌

2016.10.27(周四)   中小板399005    7479万手     1185.39亿元    6981.26   6973.34    6990.06    6947.82   -5.40亿     缩量震荡微调

2016.10.26(周三)   中小板399005    9160万手     1455.48亿元    7016.23   6983.41    7016.92    6965.72   +3.01亿     

2016.10.25(周二)   中小板399005    8570万手     1401.66亿元    7009.05   7019.31    7024.70    7000.51   +9.56亿     

2016.10.24(周一)   中小板399005    8322万手     1352.12亿元    6958.60   7004.89    7033.48    6951.65   +8.65亿     

2016.10.21(周五)   中小板399005    8150万手     1293.88亿元    6973.64   6948.87    6976.73    6900.14   +0.00亿     

2016.10.20(周四)   中小板399005    8824万手     1357.66亿元    6941.37   6973.23    6981.16    6939.38   +5.14亿     

2016.10.19(周三)   中小板399005    8185万手     1294.14亿元    6973.52   6930.13    6984.74    6915.57   +4.17亿     

2016.10.18(周二)   中小板399005    7901万手     1261.59亿元    6858.03   6958.97    6958.97    6856.06   +7.58亿     

2016.10.17(周一)   中小板399005    8014万手     1251.40亿元    6939.25   6858.67    6954.68    6847.55   -1.44亿     

2016.10.13(周四)   中小板399005    7327万手     1120.65亿元    6944.92   6952.04    6969.04    6927.65   -4.65亿     

2016.10.12(周三)   中小板399005    7575万手     1146.42亿元    6936.69   6947.61    6962.55    6919.74   -5.27亿     

2016.10.11(周二)   中小板399005    7704万手     1189.19亿元    6914.90   6946.77    6946.77    6902.51   +10.4亿     

2016.10.10(周一)   中小板399005    7353万手     1143.78亿元    6828.78   6910.22    6910.22    6818.77   +0.00亿     向上缺口101, 补缺口92  

2016.09.30(周五)   中小板399005    5067万手     764.69亿元     6746.46   6783.59    6797.44    6743.28   +0.00亿       

2016.09.29(周四)   中小板399005    5617万手     859.99亿元     6711.64   6749.42    6770.83    6711.64   +5.87亿       

2016.09.28(周三)   中小板399005    5427万手     818.47亿元     6724.68   6704.23    6728.10    6695.70   -1.06亿       

2016.09.27(周二)   中小板399005    6187万手     928.31亿元     6658.17   6709.88    6709.88    6627.87   -2.22亿       

2016.09.26(周一)   中小板399005    7404万手     1159.54亿元    6809.62   6667.08    6809.64    6667.08   -3.31亿       向下缺口92 6815.89

2016.09.23(周五)   中小板399005    6758万手     1080.77亿元    6842.08   6822.03    6850.16    6815.89   +6.03亿       补缺口91

2016.09.22(周四)   中小板399005    6822万手     1105.38亿元    6840.83   6829.12    6857.68    6823.56   +12.0亿       向上缺口91

2016.09.21(周三)   中小板399005    5887万手     950.27亿元     6777.75   6797.08    6820.62    6773.79   -0.85亿

2016.09.20(周二)   中小板399005    6060万手     949.50亿元     6790.96   6778.18    6792.69    6758.77   -6.59亿

2016.09.19(周一)   中小板399005    5793万手     912.40亿元     6746.35   6783.60    6797.40    6746.23   -7.13亿

2016.09.14(周三)   中小板399005    6162万手     952.35亿元     6748.02   6726.92    6773.17    6712.12   -9.63亿

2016.09.13(周二)   中小板399005    6523万手     1005.89亿元    6773.66   6774.01    6790.69    6738.36   -1.08亿

2016.09.12(周一)   中小板399005    8521万手     1305.18亿元    6813.26   6731.84    6848.31    6731.36   -22.2亿

2016.09.09(周五)   中小板399005    8132万手     1276.22亿元    6995.26   6935.74    7013.31    6935.74   -0.70亿

2016.09.08(周四)   中小板399005    7655万手     1223.16亿元    6979.69   6988.12    6998.07    6957.60   +12.6亿

2016.09.07(周三)   中小板399005    9511万手     1512.31亿元    7002.05   6986.07    7023.93    6977.64   +8.35亿

2016.09.06(周二)   中小板399005    8531万手     1389.75亿元    6892.73   7005.39    7005.39    6840.00   +12.1亿

2016.09.05(周一)   中小板399005    6425万手     1015.51亿元    6889.91   6884.97    6931.83    6877.37   +16.9亿

2016.09.02(周五)   中小板399005    6556万手     1071.98亿元    6898.64   6872.16    6929.45    6839.80   +0.48亿

2016.09.01(周四)   中小板399005    6905万手     1106.75亿元    6964.14   6912.75    6973.47    6912.75   +3.93亿

2016.08.31(周三)   中小板399005    6674万手     1082.38亿元    6972.98   6961.14    6979.67    6917.90   +5.31亿

2016.08.30(周二)   中小板399005    6744万手     1095.22亿元    6963.33   6966.58    7004.36    6955.38   +11.5亿

2016.08.29(周一)   中小板399005    6725万手     1107.66亿元    6944.30   6961.59    6979.23    6937.28   +1.50亿

2016.08.26(周五)   中小板399005    7495万手     1271.73亿元    6944.88   6942.08    6998.63    6931.31   +4.57亿

2016.08.25(周四)   中小板399005    8071万手     1332.07亿元    6936.47   6925.74    6937.79    6861.02   +5.25亿

2016.08.24(周三)   中小板399005    7447万手     1225.94亿元    6959.58   6969.06    7005.84    6951.53   +4.42亿

2016.08.23(周二)   中小板399005    7478万手     1206.05亿元    6935.88   6953.10    6981.94    6911.05   +4.65亿

2016.08.22(周一)   中小板399005    8454万手     1364.62亿元    7017.50   6938.09    7035.78    6937.47   +1.74亿

2016.08.19(周五)   中小板399005    8290万手     1347.12亿元    7014.41   7021.19    7043.72    6990.50   +6.14亿

2016.08.18(周四)   中小板399005    9563万手     1531.88亿元    7028.60   7015.54    7053.44    6994.65   +14.8亿

2016.08.17(周三)   中小板399005    8782万手     1512.29亿元    7024.09   7032.52    7058.64    6997.71   +17.4亿

2016.08.16(周二)   中小板399005    9973万手     1662.80亿元    7004.10   7008.89    7033.33    6997.78   +50.2亿

2016.08.15(周一)   中小板399005    1.00亿手     1661.28亿元    6847.78   6995.68    7027.13    6837.19   +8.55亿(有缺口)

2016.08.12(周五)   中小板399005    6095万手     978.15亿元     6744.40   6829.87    6830.85    6737.11   +6.16亿

2016.08.11(周四)   中小板399005    6842万手     1118.11亿元    6830.65   6754.64    6855.95    6754.64   +10.5亿

2016.08.10(周三)   中小板399005    7014万手     1157.16亿元    6881.86   6843.02    6899.85    6842.65   +13.2亿

2016.08.09(周二)   中小板399005    7091万手     1130.88亿元    6826.87   6884.05    6884.05    6820.85   +16.0亿

2016.08.08(周一)   中小板399005    6235万手     972.18亿元     6717.15   6823.50    6823.50    6583.64

2016.08.05(周五)   中小板399005    6122万手     975.06亿元     6754.61   6729.82    6779.83    6729.76

2016.08.04(周四)   中小板399005    6214万手     1000.92亿元    6705.22   6759.16    6763.83    6683.13
